City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,seeb,23.6703,58.1891,300.2,64,1,2.37,OM,1699499140
334,mahina,-17.5065,-149.489,301.02,69,75,3.09,PF,1699499148
335,viqueque,-8.8673,126.3658,307.3,41,2,4.1,TL,1699499042
336,gotsucho,35.0,132.2167,294.26,55,6,2.68,JP,1699499166
337,murray bridge,-35.1167,139.2667,303.89,25,0,4.35,AU,1699499174
338,longquan,24.6719,102.1613,293.85,62,42,1.67,CN,1699499182
339,sultanah,24.4926,39.5857,297.4,29,0,3.09,SA,1699499191
340,caconda,-13.7333,15.0667,290.51,84,100,0.42,AO,1699499199
341,manjeshvar,12.7,74.8833,297.81,84,97,1.46,IN,1699499207
342,oranjemund,-28.55,16.4333,286.87,87,0,5.69,NA,1699499216
343,kosh-agach,50.0,88.6667,261.73,93,98,0.3,RU,1699499224
344,ajuchitlan del progreso,18.1519,-100.4835,298.9,84,10,1.42,MX,1699499233
345,enoch,37.7733,-113.0244,275.64,68,75,2.57,US,1699499241
346,plakhtiyivka,46.1006,29.7217,282.96,83,75,5.56,UA,1699499250
347,santa elena de uairen,4.6167,-61.1333,293.43,87,22,1.39,VE,1699499259
348,port saint john's,-31.6229,29.5448,291.29,87,100,2.66,ZA,1699499267
349,borzya,50.3833,116.5167,261.7,80,92,3.92,RU,1699499276
350,vorgashor,67.5833,63.95,271.97,99,100,2.19,RU,1699498702
351,vanimo,-2.6741,141.3028,301.94,82,90,4.36,PG,1699499293
352,happy valley-goose bay,53.3168,-60.3315,271.87,95,100,6.65,CA,1699499301
353,bechar,31.6167,-2.2167,288.6,30,46,2.66,DZ,1699499309
354,bam,29.106,58.357,291.21,40,5,4.05,IR,1699499317
355,shengli,37.4564,118.4856,282.15,53,100,8.84,CN,1699499325
356,santiago de cuba,20.0247,-75.8219,299.21,89,40,2.57,CU,1699499334
357,natal,-5.795,-35.2094,299.27,78,75,4.12,BR,1699499160
358,saint-leu,-21.15,55.2833,298.68,82,5,0.93,RE,1699499350
359,bereznik,62.8551,42.7072,273.43,92,100,3.13,RU,1699499358
360,kailua-kona,19.6406,-155.9956,301.21,80,20,3.6,US,1699499366
361,mont-laurier,46.5501,-75.4993,269.63,83,100,2.21,CA,1699499374
362,mount gambier,-37.8333,140.7667,294.62,45,8,3.62,AU,1699499382
363,udachny,66.4167,112.4,255.28,85,85,2.79,RU,1699499264
364,opuwo,-18.0607,13.84,292.91,29,0,1.53,NA,1699499398
